name,url,price,unit,stock_status,image_url,category
BISTRO MARINADE FRESH AND FRUITY 2.5 LTR,https://www.qsta.nl/en_US/p/bistro-marinade-fresh-and-fruity-2-5-ltr/53/,"€ 33,04 /Unit excl. BTW",/Unit,108 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Shelf Stable
BISTRO KRUIDENOLIE HONING MOSTERD 2.5 LTR,https://www.qsta.nl/en_US/p/bistro-kruidenolie-honing-mosterd-2-5-ltr/55/,"€ 32,76 /Unit excl. BTW",/Unit,195 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Shelf Stable
ZOMER / FANTASIEPANEER 5 KG.,https://www.qsta.nl/en_US/p/zomer-fantasiepaneer-5-kg/61/,"€ 37,36 /Unit excl. BTW",/Unit,174 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Shelf Stable
SLAGERS-GEHAKTBALLENMIX 5 KG *NIEUW*,https://www.qsta.nl/en_US/p/slagers-gehaktballenmix-5-kg-nieuw/62/,"€ 44,84 /Unit excl. BTW",/Unit,112 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Shelf Stable
VERRASSINGS/GEHAKTMIX 3 KG,https://www.qsta.nl/en_US/p/verrassings-gehaktmix-3-kg/63/,"€ 35,56 /Unit excl. BTW",/Unit,157 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Shelf Stable
CHIN.ROASTSTEAKGEKR. 2 KG *NIEUW*,https://www.qsta.nl/en_US/p/chin-roaststeakgekr-2-kg-nieuw/64/,"€ 39,43 /Unit excl. BTW",/Unit,316 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Shelf Stable
COTELETTOPANEERMIX 5 KG *NIEUW*,https://www.qsta.nl/en_US/p/cotelettopaneermix-5-kg-nieuw/65/,"€ 33,18 /Unit excl. BTW",/Unit,436 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Shelf Stable
ALLERFIJNSTE KRUIDEN 5 GR,https://www.qsta.nl/en_US/p/allerfijnste-kruiden-5-gr/90/,"€ 44,03 /Unit excl. BTW",/Unit,36 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Shelf Stable
BASILICUM HEEL 1 KG,https://www.qsta.nl/en_US/p/basilicum-heel-1-kg/91/,"€ 18,86 /Unit excl. BTW",/Unit,508 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Shelf Stable
BIESLOOK TIBULAIR 300 GR,https://www.qsta.nl/en_US/p/bieslook-tibulair-300-gr/92/,"€ 17,40 /Unit excl. BTW",/Unit,473 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Shelf Stable
FIVE SPICES MARINADE EPOS 2.5 LTR,https://www.qsta.nl/en_US/p/five-spices-marinade-epos-2-5-ltr/93/,"€ 29,33 /Unit excl. BTW",/Unit,26 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Shelf Stable
BISTRO KRUIDENOLIE BOMBAY 2.5 LTR,https://www.qsta.nl/en_US/p/bistro-kruidenolie-bombay-2-5-ltr/102/,"€ 32,76 /Unit excl. BTW",/Unit,352 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Shelf Stable
Hilcona tortelli roomkaas 2x2kg,https://www.qsta.nl/en_US/p/hilcona-tortelli-roomkaas-2x2kg/5380/,"€ 47,02 /Unit excl. BTW",/Unit,120 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021760.jpg,Frozen
Hilcona tortelli tomaat-mozzarella 2x2kg,https://www.qsta.nl/en_US/p/hilcona-tortelli-tomaat-mozzarella-2x2kg/6375/,"€ 47,02 /Unit excl. BTW",/Unit,67 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021759.jpg,Frozen
Hilcona agnolotti tartufo 2x2kg,https://www.qsta.nl/en_US/p/hilcona-agnolotti-tartufo-2x2kg/8578/,"€ 47,02 /Unit excl. BTW",/Unit,75 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021767.jpg,Frozen
Hilcona tortelloni ricotta-spinazie 2x2kg,https://www.qsta.nl/en_US/p/hilcona-tortelloni-ricotta-spinazie-2x2kg/5381/,"€ 35,16 /Unit excl. BTW",/Unit,433 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021761.jpg,Frozen
Hilcona tortelloni tricolore kaas 2x2kg,https://www.qsta.nl/en_US/p/hilcona-tortelloni-tricolore-kaas-2x2kg/5382/,"€ 38,49 /Unit excl. BTW",/Unit,105 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021765.jpg,Frozen
"Hilcona gnocchi naturel 2x2,5kg",https://www.qsta.nl/en_US/p/hilcona-gnocchi-naturel-2x25kg/5383/,"€ 30,30 /Unit excl. BTW",/Unit,370 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021763.jpg,Frozen
"Hilcona eierspätzle 2x2,5kg",https://www.qsta.nl/en_US/p/hilcona-eierspatzle-2x25kg/6378/,"€ 23,61 /Unit excl. BTW",/Unit,182 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021766.jpg,Frozen
Hilcona tortelloni rundvlees 2x2kg,https://www.qsta.nl/en_US/p/hilcona-tortelloni-rundvlees-2x2kg/6386/,"€ 37,23 /Unit excl. BTW",/Unit,52 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021762.jpg,Frozen
Hilcona ravioli spinazie 2x2kg,https://www.qsta.nl/en_US/p/hilcona-ravioli-spinazie-2x2kg/6393/,"€ 32,26 /Unit excl. BTW",/Unit,167 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
Smuldier hondenvoer vlees compleet 12x400g,https://www.qsta.nl/en_US/p/smuldier-hondenvoer-vlees-compleet-12x400g/8527/,"€ 18,74 /Unit excl. BTW",/Unit,31 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
Smuldier hondenvoer pens & vlees compleet 12x400g,https://www.qsta.nl/en_US/p/smuldier-hondenvoer-pens-vlees-compleet-12x400g/8528/,"€ 18,74 /Unit excl. BTW",/Unit,58 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
Smuldier hondenvoer hart compleet 12x400g,https://www.qsta.nl/en_US/p/smuldier-hondenvoer-hart-compleet-12x400g/9667/,"€ 18,74 /Unit excl. BTW",/Unit,18 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
Smuldier hondenvoer kip compleet 12x400g,https://www.qsta.nl/en_US/p/smuldier-hondenvoer-kip-compleet-12x400g/9669/,"€ 18,74 /Unit excl. BTW",/Unit,21 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
Smuldier hondenvoer lam compleet 12x400g,https://www.qsta.nl/en_US/p/smuldier-hondenvoer-lam-compleet-12x400g/20981/,"€ 18,74 /Unit excl. BTW",/Unit,29 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
Smuldier hondenvoer eend compleet 12x400g,https://www.qsta.nl/en_US/p/smuldier-hondenvoer-eend-compleet-12x400g/20982/,"€ 18,74 /Unit excl. BTW",/Unit,41 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
DEEG pizzabodem zuurdesem 30cm 20x250g,https://www.qsta.nl/en_US/p/deeg-pizzabodem-zuurdesem-30cm-20x250g/4093/,"€ 39,00 /Unit excl. BTW",/Unit,34 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
WOW fruitsmoothie ananas-aardbei 33x150g,https://www.qsta.nl/en_US/p/wow-fruitsmoothie-ananas-aardbei-33x150g/4675/,"€ 34,90 /Unit excl. BTW",/Unit,25 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
WOW fruitsmoothie perzik-aardbei 33x150g,https://www.qsta.nl/en_US/p/wow-fruitsmoothie-perzik-aardbei-33x150g/4676/,"€ 34,90 /Unit excl. BTW",/Unit,25 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
WOW fruitsmoothie mango-aardbei 33x150g,https://www.qsta.nl/en_US/p/wow-fruitsmoothie-mango-aardbei-33x150g/4682/,"€ 34,90 /Unit excl. BTW",/Unit,25 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
WOW fruitsmoothie aardbei-framboos-braam 33x150g,https://www.qsta.nl/en_US/p/wow-fruitsmoothie-aardbei-framboos-braam-33x150g/4683/,"€ 38,90 /Unit excl. BTW",/Unit,25 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
WOW fruitsmoothie mango-meloen-ananas-kiwi 33x150g,https://www.qsta.nl/en_US/p/wow-fruitsmoothie-mango-meloen-ananas-kiwi-33x150g/4684/,"€ 35,90 /Unit excl. BTW",/Unit,25 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
WOW fruitsmoothie papaja-mango-ananas 33x150g,https://www.qsta.nl/en_US/p/wow-fruitsmoothie-papaja-mango-ananas-33x150g/4685/,"€ 35,90 /Unit excl. BTW",/Unit,25 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
WOW fruitsmoothie mango-meloen-aardbei 33x150g,https://www.qsta.nl/en_US/p/wow-fruitsmoothie-mango-meloen-aardbei-33x150g/4687/,"€ 34,90 /Unit excl. BTW",/Unit,25 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
WOW fruitsmoothie aardbei-banaan 33x150g,https://www.qsta.nl/en_US/p/wow-fruitsmoothie-aardbei-banaan-33x150g/4688/,"€ 34,90 /Unit excl. BTW",/Unit,25 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Frozen
Circulware maaltijdbakken herbruikbaar 4x8st,https://www.qsta.nl/en_US/p/circulware-maaltijdbakken-herbruikbaar-4x8st/15088/,"€ 173,86 /Unit excl. BTW",/Unit,62 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0019428.jpg,Non-Food
Circulware maaltijdbakken herbruikbaar 6x8st,https://www.qsta.nl/en_US/p/circulware-maaltijdbakken-herbruikbaar-6x8st/15096/,"€ 152,20 /Unit excl. BTW",/Unit,82 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0019425.jpg,Non-Food
Circulware maaltijdbakken herbruikbaar 4x12st,https://www.qsta.nl/en_US/p/circulware-maaltijdbakken-herbruikbaar-4x12st/15103/,"€ 130,43 /Unit excl. BTW",/Unit,59 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0019427.jpg,Non-Food
Circulware hamburgerboxen herbruikbaar 8x8st,https://www.qsta.nl/en_US/p/circulware-hamburgerboxen-herbruikbaar-8x8st/15097/,"€ 154,67 /Unit excl. BTW",/Unit,66 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0019418.jpg,Non-Food
CMT bouffant cap pp nw 100st/zak 1000st/ds,https://www.qsta.nl/en_US/p/cmt-bouffant-cap-wit-m-50cm-1000st/1679/,"€ 35,00 /Unit excl. BTW",/Unit,263 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0012941.jpg,Non-Food
CMT clip cap pp 100st/zak 1000st/ds,https://www.qsta.nl/en_US/p/cmt-clip-cap-blauw-m-50cm-1000st/1682/,"€ 24,50 /Unit excl. BTW",/Unit,794 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0012946.jpg,Non-Food
CMT latex handschoen p-vrij 100st/disp 1000st/ds,https://www.qsta.nl/en_US/p/cmt-latex-handschoen-wi-xl-1000st/1683/,"€ 62,00 /Unit excl. BTW",/Unit,450 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0012943.jpg,Non-Food
CMT s/nitril handschoen p-vrij 100st/disp 1000st/ds,https://www.qsta.nl/en_US/p/cmt-s-nitril-handschoen-zwart-s-1000st/1685/,"€ 55,00 /Unit excl. BTW",/Unit,555 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0012948.jpg,Non-Food
